Host,Port,Type,Country,Country code,City
138.255.210.1, 63253, socks4, Brazil, BR, Itapevi
113.195.144.238, 9999, https, China, CN, 
47.100.106.114, 62369, socks5, China, CN, 
113.121.20.49, 9999, https, China, CN, 
220.249.149.4, 9999, https, China, CN, Fuzhou
47.100.106.114, 58590, socks5, China, CN, 
106.14.222.35, 50179, socks5, China, CN, 
106.14.222.35, 63756, socks5, China, CN, 
123.169.169.221, 9999, https, China, CN, 
170.238.38.109, 52106, socks4, Brazil, BR, Recife
47.100.106.114, 59253, socks5, China, CN, 
106.14.222.35, 60111, socks5, China, CN, 
47.100.106.114, 64941, socks5, China, CN, 
36.250.156.252, 9999, https, China, CN, Putian
163.204.244.121, 9999, https, China, CN, 
47.100.106.114, 60948, socks5, China, CN, 
123.149.136.22, 9999, https, China, CN, Kaifeng
183.166.21.158, 9999, https, China, CN, Shanghai
113.110.184.170, 8118, https, China, CN, Shenzhen
106.14.243.103, 61132, socks5, China, CN, 
47.100.106.114, 53203, socks5, China, CN, 
117.90.137.243, 9000, https, China, CN, Wuxi
106.14.222.35, 59165, socks5, China, CN, 
182.32.163.225, 9999, https, China, CN, Jinan
106.14.222.35, 56052, socks5, China, CN, 
106.14.222.35, 51376, socks5, China, CN, 
106.14.222.35, 61880, socks5, China, CN, 
182.138.238.26, 9999, https, China, CN, Chengdu
106.14.222.35, 52295, socks5, China, CN, 
47.100.106.114, 50511, socks5, China, CN, 
106.14.222.35, 53536, socks5, China, CN, 
103.141.180.62, 8080, https, Indonesia, ID, 
47.100.106.114, 59189, socks5, China, CN, 
106.14.222.35, 54337, socks5, China, CN, 
106.14.222.35, 60254, socks5, China, CN, 
106.14.222.35, 62274, socks5, China, CN, 
47.100.106.114, 53445, socks5, China, CN, 
61.145.6.60, 9999, https, China, CN, Jiangmen
106.14.222.35, 58390, socks5, China, CN, 
117.69.12.222, 9999, https, China, CN, 
182.138.187.79, 9999, https, China, CN, Chengdu
106.14.222.35, 53379, socks5, China, CN, 
106.14.222.35, 54262, socks5, China, CN, 
47.100.106.114, 56946, socks5, China, CN, 
106.14.222.35, 53325, socks5, China, CN, 
106.14.222.35, 50969, socks5, China, CN, 
47.100.106.114, 52919, socks5, China, CN, 
47.100.106.114, 51238, socks5, China, CN, 
1.196.177.144, 9999, https, China, CN, Luoyang
106.14.222.35, 61841, socks5, China, CN, 
125.108.72.246, 9000, https, China, CN, Wenzhou
106.14.222.35, 64702, socks5, China, CN, 
